time,open,high,low,close,Volume
1775454300,69200.88,69223.78,69129.65,69180.0,11.4758911
1775455200,69179.99,69337.67,69074.92,69290.31,53.03253373
1775456100,69290.3,69290.3,68790.97,68831.21,56.15994721
1775457000,68831.21,68961.43,68816.17,68913.92,29.80454916
1775457900,68913.92,69087.15,68906.89,68965.98,35.9588428
1775458800,68965.98,68980.3,68811.13,68886.73,18.53429308
1775459700,68886.73,69090.01,68886.73,69058.24,21.71063326
1775460600,69058.24,69124.26,68942.8,68968.15,22.11661159
1775461500,68970.01,69197.03,68935.0,69100.0,27.44742521
1775462400,69101.74,69212.57,69064.94,69160.11,32.26591791
1775463300,69160.11,69241.06,69105.0,69219.5,47.39593613
1775464200,69219.51,69341.07,69194.44,69285.11,34.78800362
1775465100,69285.1,69303.94,69200.72,69215.44,23.12525741
1775466000,69215.17,69752.0,69200.0,69643.3,207.43280201
1775466900,69638.45,70271.25,69628.42,69934.1,501.14369261
1775467800,69934.11,69980.0,69712.69,69857.49,102.06257092
1775468700,69857.49,69906.12,69702.04,69735.03,68.46554568
1775469600,69735.03,69857.98,69725.4,69827.76,35.29563528
1775470500,69827.76,69875.61,69747.0,69769.42,81.74937977
1775471400,69766.98,69956.35,69750.16,69896.01,92.5168696
1775472300,69896.01,69896.02,69700.01,69773.9,74.30897307
1775473200,69772.22,69772.22,69670.0,69676.19,37.27415785
1775474100,69676.19,69730.02,69584.92,69624.13,49.85079873
1775475000,69624.13,69712.43,69572.58,69654.16,33.39771635
1775475900,69654.25,69702.0,69565.01,69619.77,27.80082574
1775476800,69620.0,69642.0,69460.27,69482.85,78.39860827
1775477700,69481.93,69536.0,69419.04,69462.93,66.38168037
1775478600,69462.93,69549.55,69383.08,69499.93,79.09088887
1775479500,69499.94,69551.48,69323.88,69367.96,63.03861027
1775480400,69367.96,69448.24,69365.03,69408.27,105.22778391
1775481300,69409.32,69481.93,69320.01,69471.57,60.11838636
1775482200,69471.57,69562.38,69230.0,69326.54,199.2910754
1775483100,69326.54,69517.76,69254.53,69427.53,162.15370341
1775484000,69427.53,69642.82,69150.37,69348.87,206.70833839
1775484900,69349.61,69660.36,69347.7,69549.27,217.25404374
1775485800,69551.11,69835.74,69327.99,69466.49,358.99420133
1775486700,69466.5,69707.18,69305.81,69658.63,199.31295964
1775487600,69658.64,69811.84,69536.32,69712.01,199.34929473
1775488500,69710.16,69789.65,69600.0,69750.38,218.68756257
1775489400,69750.38,69876.86,69658.05,69834.17,321.98799545
1775490300,69831.6,69989.99,69790.14,69975.89,429.78670478
1775491200,69975.9,70125.03,69867.09,70085.4,432.38438523
1775492100,70085.41,70111.3,69907.99,69919.13,333.47884254
1775493000,69919.14,70140.25,69848.36,70139.01,322.99575491
1775493900,70139.02,70378.48,69784.3,69818.63,192.55082317
1775494800,69818.64,69851.12,69295.59,69340.18,321.2464438
1775495700,69340.19,69595.89,69269.62,69543.27,199.62515946
1775496600,69540.83,69662.83,69443.96,69469.27,167.10347023
1775497500,69470.06,69616.61,69421.59,69577.77,157.89054256
1775498400,69577.77,69795.83,69477.83,69756.47,129.94644702
1775499300,69756.47,69975.9,69722.8,69864.57,111.45568302
1775500200,69864.58,69946.05,69749.6,69789.23,120.34040722
1775501100,69789.23,69926.62,69712.44,69904.98,191.56691623
1775502000,69904.99,69906.05,69581.0,69745.41,193.57744377
1775502900,69745.7,69917.04,69743.41,69855.14,238.35046053
1775503800,69854.91,69900.83,69686.77,69770.77,119.69497891
1775504700,69770.77,69778.59,69667.17,69732.99,147.59198535
1775505600,69727.98,69774.32,69615.2,69771.55,200.65790626
1775506500,69771.55,69982.82,69766.97,69973.74,229.26673357
1775507400,69973.74,69997.76,69901.98,69914.29,179.30560605
1775508300,69914.29,69950.97,69817.28,69833.05,59.58872892
1775509200,69833.04,69837.4,69700.01,69737.95,48.17858176
1775510100,69737.94,69774.8,69663.94,69665.8,24.2462452
1775511000,69665.8,69673.65,69429.0,69445.85,46.47407479
1775511900,69445.85,69577.48,69445.85,69516.47,30.63861673
1775512800,69516.46,69596.65,69409.04,69562.1,88.07729941
1775513700,69562.1,69562.5,69330.44,69377.6,69.57898537
1775514600,69377.61,69377.61,69214.19,69243.99,71.0641883
1775515500,69243.98,69243.98,68810.19,68812.0,159.53256677
1775516400,68809.58,68825.32,68332.0,68595.98,255.86392561
1775517300,68593.58,68685.92,68491.16,68530.46,84.38268901
1775518200,68530.46,68863.62,68480.0,68785.21,62.95537621
1775519100,68785.21,68912.87,68777.62,68853.61,70.97186983
1775520000,68853.6,69133.19,68803.83,68947.92,148.5709704
1775520900,68947.91,69070.0,68871.92,68927.99,59.84195022
1775521800,68928.0,69051.2,68727.86,68786.27,70.67849286
1775522700,68785.48,68905.99,68745.14,68771.18,49.1702533
1775523600,68771.17,68771.17,68539.67,68594.37,87.02553935
1775524500,68594.38,68900.0,68594.38,68724.58,90.75221201
1775525400,68724.58,68808.43,68594.83,68641.39,66.22298806
1775526300,68641.39,68654.87,68350.0,68403.98,84.39897196
1775527200,68403.98,68492.04,68270.41,68418.0,188.89066603
1775528100,68418.0,68582.0,68405.63,68573.31,138.36790565
1775529000,68573.31,68713.96,68499.91,68613.76,54.33709921
1775529900,68613.76,68689.25,68543.82,68663.65,88.5101068
1775530800,68662.35,68745.21,68610.0,68675.43,86.92056479
1775531700,68675.43,68794.06,68649.24,68777.98,61.6534461
1775532600,68777.98,68801.0,68724.0,68796.77,37.18557361
1775533500,68796.77,68798.0,68733.08,68777.67,28.86450539
1775534400,68777.68,68789.66,68623.79,68671.06,39.73077828
1775535300,68671.06,68683.3,68540.43,68596.69,37.27323209
1775536200,68596.69,68876.0,68596.68,68857.56,46.09876127
1775537100,68857.56,68987.22,68828.02,68856.71,30.34034322
1775538000,68856.72,68869.32,68793.35,68802.28,18.34541886
1775538900,68802.28,68840.5,68693.99,68706.89,42.87136205
1775539800,68706.89,68753.69,68643.38,68650.01,65.31768625
1775540700,68650.0,68693.76,68613.28,68655.07,34.21404153
1775541600,68655.07,68657.36,68478.94,68516.03,38.37718223
1775542500,68516.03,68585.35,68434.41,68567.12,43.85551413
1775543400,68567.12,68580.89,68472.96,68552.28,21.58628145
1775544300,68552.29,68605.0,68497.01,68566.49,31.46723976
1775545200,68566.49,68575.26,68497.01,68554.44,42.70006845
1775546100,68554.43,68655.51,68503.4,68576.89,24.85050107
1775547000,68576.89,68707.06,68576.89,68673.72,21.39689373
1775547900,68673.72,68681.13,68600.26,68610.29,17.93972285
1775548800,68610.28,68840.0,68591.34,68730.4,75.37203143
1775549700,68730.4,68863.11,68657.04,68749.77,50.24718387
1775550600,68749.78,68949.59,68749.78,68917.56,55.14437436
1775551500,68917.56,68990.0,68884.17,68942.34,73.74098059
1775552400,68942.35,69256.41,68929.79,69111.29,88.29199061
1775553300,69111.28,69170.0,69000.0,69064.77,71.57856046
1775554200,69064.78,69256.06,69051.17,69188.11,40.61687153
1775555100,69188.1,69204.46,69121.3,69150.35,23.55535195
1775556000,69150.36,69208.14,68834.29,68910.89,86.06943798
1775556900,68910.89,69014.95,68660.0,68738.22,72.23834682
1775557800,68738.11,68774.28,68449.96,68473.71,93.55794565
1775558700,68473.71,68484.06,68172.7,68225.93,134.27332429
