time,open,high,low,close,EMA,EMA-based MA,Volume
1775736000,71152.8,71330.31,71045.0,71290.07,71137.19977941147,70761.09284681156,228.44511618
1775739600,71290.08,71362.49,70623.2,70797.2,71109.99979705855,70794.33855224312,541.51317355
1775743200,70797.16,71261.99,70511.78,71132.04,71111.76301329388,70825.92898461268,752.07875336
1775746800,71132.04,72369.99,70928.0,72158.09,71195.46917223037,70859.04311949073,1637.49020054
1775750400,72158.09,72416.25,71744.44,72096.47,71267.54923845195,70893.11873377461,1396.19241524
1775754000,72096.47,72568.12,72086.0,72359.99,71354.9444993758,70928.63876166088,916.71364273
1775757600,72362.41,72394.0,71720.0,71890.12,71397.75853942573,70963.74956190448,420.52407009
1775761200,71890.12,72318.0,71750.0,72136.37,71456.84745627167,70999.02637499134,785.57696612
1775764800,72146.26,72475.14,71989.82,72430.01,71534.70045976994,71035.16119299203,484.1877705
1775768400,72430.0,72715.0,72154.0,72277.86,71594.15322298835,71071.35709629778,480.1161191
1775772000,72280.49,73147.81,71953.21,71953.22,71622.87856514928,71106.384649692,656.32699332
1775775600,71953.22,72045.75,71558.46,71798.01,71636.88907993735,71139.68478469702,459.82510838
1775779200,71798.01,72034.48,71587.36,71977.66,71664.15075354236,71171.84167815658,278.95078588
1775782800,71976.01,72421.88,71680.01,72172.56,71704.82349325897,71203.52864602169,415.62520602
1775786400,72170.6,72304.19,71922.41,71968.13,71725.88801379826,71234.12547151643,249.47798749
1775790000,71968.61,72031.49,71818.27,71882.19,71738.39217269441,71263.43292085394,126.08786676
1775793600,71882.19,72230.69,71818.28,72125.99,71769.39999887886,71292.29289173466,173.95063128
1775797200,72125.99,72284.72,72016.89,72138.54,71798.93119896854,71320.7322261998,123.22021317
1775800800,72138.53,72194.4,71760.83,71809.58,71799.78310305107,71347.69905108422,113.76021172
1775804400,71806.87,71848.0,71437.39,71493.99,71775.31965480698,71372.30520448768,275.85653477
1775808000,71495.04,71774.22,71431.55,71611.98,71762.25248242242,71395.12457040318,171.11091588
1775811600,71611.98,71884.32,71599.01,71787.6,71764.28028382863,71416.85839833955,127.33965997
1775815200,71784.84,71947.95,71717.93,71917.27,71776.51946112234,71437.99114137434,91.68293337
1775818800,71917.28,72284.0,71910.13,72147.83,71806.22430423256,71459.28685492714,168.10390509
1775822400,72149.16,72476.22,72019.44,72273.05,71843.57035989396,71481.095631082,291.82902405
1775826000,72273.02,72435.49,71899.6,72347.0,71883.84473110244,71503.55804490916,409.17539336
1775829600,72345.9,73200.0,72287.15,72953.12,71969.38675261424,71528.48215990467,1762.62262551
1775833200,72953.11,73339.39,72382.01,72482.98,72010.4742124051,71554.14116828877,912.29481106
1775836800,72482.99,73082.2,72410.0,73021.3,72091.34027541269,71582.10987294331,703.38066323
1775840400,73021.31,73184.16,72828.13,73152.07,72176.19865337969,71612.48074491177,622.92753474
1775844000,73152.07,73195.0,72907.59,73150.0,72254.10276110932,71644.93953520119,584.24437135
1775847600,73150.0,73314.59,72944.04,73286.01,72336.65534022058,71679.64917238509,1071.64068647
1775851200,73286.01,73477.87,73089.33,73400.01,72421.72371300292,71716.70051953547,878.60925628
1775854800,73400.0,73400.01,72971.28,73222.7,72485.8018159627,71755.20578307068,167.1517258
1775858400,73225.01,73281.14,72802.0,72907.5,72519.53767068569,71793.94112403286,222.29993757
1775862000,72907.51,73000.0,72807.65,72997.88,72557.80505703084,71833.0762974828,125.20415121
1775865600,72997.88,72997.88,72818.98,72867.99,72582.61985246837,71872.08178521357,91.28758061
1775869200,72868.0,73040.3,72667.55,72998.0,72615.8502642709,71911.26290169061,118.31001357
1775872800,72998.0,73150.19,72941.28,73008.01,72647.22304312923,71950.51703128085,133.21543974
1775876400,73008.01,73118.19,72858.48,72909.53,72668.20759967889,71989.39170077839,93.78122784
1775880000,72909.53,72998.13,72720.0,72849.03,72682.67339170458,72027.60312173572,162.58822714
1775883600,72849.04,72877.44,72712.21,72763.44,72689.13472036822,72064.82399450667,60.59037323
1775887200,72763.44,72811.29,72650.0,72803.28,72698.26634273876,72101.14785188732,96.14648758
1775890800,72803.28,72875.73,72706.96,72791.84,72705.75223531967,72136.48436632457,49.63920805
1775894400,72791.85,72844.02,72677.98,72701.16,72705.3848564941,72170.51546109705,50.6780851
1775898000,72701.17,72954.0,72668.04,72953.25,72725.21406797456,72204.03230107202,65.82201673
1775901600,72953.25,72958.06,72800.52,72882.26,72737.7777425366,72236.73028922155,34.09161813
1775905200,72882.26,72953.01,72856.94,72947.62,72754.56512313367,72268.77819643678,116.76303417
1775908800,72947.93,73023.19,72844.99,72972.81,72772.02471328298,72300.21875044733,86.31460512
1775912400,72972.81,72972.81,72564.35,72690.13,72765.47313622035,72330.10776774488,220.92868194
1775916000,72690.13,72809.64,72626.76,72742.56,72763.64008532272,72358.6373976194,88.59632723
1775919600,72742.57,72927.47,72709.94,72893.41,72774.02167849691,72386.29850933926,76.67584343
1775923200,72893.41,73247.97,72846.91,73076.42,72798.21354421716,72413.60320647448,125.83952274
1775926800,73076.42,73207.72,72976.7,73134.06,72825.08126067978,72440.63883325063,87.8487323
1775930400,73134.48,73749.0,73072.34,73586.02,72885.95635982542,72468.78359168863,293.57059084
1775934000,73586.02,73822.95,73504.32,73720.25,72952.69985103938,72498.27640302021,187.00362597
1775937600,73718.55,73727.26,73250.0,73333.21,72983.14066295623,72527.70983022958,151.42806197
1775941200,73333.2,73580.52,73236.98,73470.34,73022.11660991973,72557.42828898769,135.01256767
1775944800,73470.34,73602.51,73278.36,73410.49,73053.18648112616,72587.13751198632,145.24700009
1775948400,73410.48,73410.48,72952.33,73086.0,73055.81156263608,72615.75870992937,124.55707397
1775952000,73085.99,73151.97,72913.68,73112.65,73060.3586376252,72643.4118258409,84.70084342
1775955600,73112.67,73172.14,71294.05,71676.55,72949.65394661519,72665.59614596973,510.29520472
1775959200,71676.54,72002.88,71382.01,71791.75,72857.02163088597,72683.11820676272,312.84337184
1775962800,71791.75,71892.0,71621.55,71621.55,72758.1839004151,72695.82869312368,121.01658872
1775966400,71621.55,71718.27,71474.74,71503.61,72657.81798838188,72703.77709634046,107.32071561
1775970000,71503.61,71816.3,71442.91,71730.02,72583.59414931134,72708.08383529988,76.73237197
1775973600,71730.01,71781.02,71680.55,71689.0,72512.02661736643,72708.92110086806,53.30039934
1775977200,71689.0,71785.63,71619.94,71707.58,72447.67088797712,72706.65216009274,52.6394202
1775980800,71707.58,71818.16,71630.28,71664.18,72384.99161693895,72701.4163932461,43.97367662
1775984400,71664.19,71666.16,71541.33,71571.84,72319.93948758383,72693.17057543347,39.47678802
1775988000,71571.84,71716.76,71389.0,71486.54,72253.26752857714,72681.88301818311,65.5750894
1775991600,71486.53,71574.83,71444.0,71495.41,72192.63892629098,72667.83275884611,55.8579881
1775995200,71495.04,71537.65,71110.0,71116.92,72106.5814121877,72650.07172747176,151.60636759
1775998800,71116.92,71170.98,70889.41,70921.91,72011.80769921269,72628.33520778382,330.17144494
1776002400,70922.3,71124.05,70725.01,70774.68,71912.83748327568,72602.55626127876,226.94556599
1776006000,70774.68,70964.84,70631.46,70922.08,71833.57688461363,72573.61472884707,178.3990064
1776009600,70922.07,70992.7,70835.54,70962.38,71763.88113384454,72541.97945548047,119.21665545
1776013200,70963.51,71225.25,70926.96,71168.12,71716.22024313698,72508.6363084538,171.78422878
1776016800,71169.59,71244.66,71077.09,71163.59,71672.00982368602,72473.79020691475,128.8439041
1776020400,71163.57,71255.45,71081.42,71121.13,71627.93943779115,72437.54474157727,145.24938968
1776024000,71121.12,71467.17,70979.45,71364.9,71606.89628276786,72400.90406170207,183.34593538
1776027600,71364.9,71478.37,71187.99,71393.04,71589.78778014643,72364.10007307964,151.47079357
1776031200,71391.19,71392.57,70512.7,70912.75,71535.62475773472,72325.75782284111,870.49949703
1776034800,70912.75,70912.75,70573.2,70755.35,71473.20277711595,72285.66263136677,261.77664274
1776038400,70755.35,71286.46,70616.81,71192.38,71450.73695494668,72245.48062258291,253.45162538
1776042000,71191.32,71249.19,71031.7,71209.06,71431.40279855095,72205.37868665863,179.74079708
1776045600,71209.06,71288.0,70998.25,71094.12,71404.42017466687,72165.102061373,110.72556557
1776049200,71095.99,71165.75,70931.93,70998.24,71371.92576069353,72124.475223522,130.9905614
1776052800,70995.48,71163.84,70874.04,70913.71,71335.26849983804,72083.38647309122,147.28653971
1776056400,70913.71,70943.04,70689.12,70904.06,71300.771819851,72041.97389563608,138.39160059
1776060000,70904.07,71134.02,70898.04,71050.58,71280.75647426293,72000.84890131853,153.75623078
1776063600,71050.58,71097.6,70698.01,70842.01,71245.6567563219,71959.44699015423,158.35609211
1776067200,70842.01,70890.09,70576.27,70693.85,71201.51221581615,71917.44606011837,122.38145185
1776070800,70693.85,70923.07,70689.12,70805.99,71169.87043855086,71875.37820087753,88.72192056
1776074400,70805.99,70867.85,70695.85,70767.62,71137.6904034668,71833.25299265046,89.31756582
1776078000,70769.99,71011.35,70750.0,70942.98,71122.11357118946,71791.74649253255,148.18646481
1776081600,70943.03,71250.0,70762.64,71088.5,71119.42448549431,71751.39187179662,327.61650628
1776085200,71091.25,71714.82,70831.95,71683.38,71164.54092665476,71714.07581993524,1667.77209474
1776088800,71683.37,72479.99,71439.5,72450.0,71267.37765252238,71682.03965865416,2176.50589883
1776092400,72447.76,72515.42,71678.68,71894.19,71317.52264032059,71653.15008282456,1719.03500846
1776096000,71894.19,72486.57,71705.63,72250.0,71392.12082909494,71628.32157361037,1265.76850401
1776099600,72250.0,72633.75,72108.14,72202.02,71456.91276276736,71607.10962591763,1308.31224978
1776103200,72199.48,72505.92,72112.58,72465.68,71537.61414174597,71590.0954647854,978.81979534
1776106800,72465.68,73529.27,72333.38,73373.2,71684.4610104063,71579.82870979865,2125.50643503
1776110400,73368.47,73431.95,73054.24,73192.99,71805.1433295738,71575.1891988971,1412.27322126
1776114000,73193.0,73397.03,73116.44,73207.1,71917.2998632079,71575.79567992652,328.21899237
1776117600,73207.12,74767.93,73200.54,74660.86,72136.78467415126,71585.82148686574,1545.69781994
1776121200,74660.87,74936.9,74425.0,74446.0,72321.52190021917,71603.75569952432,875.83134781
1776124800,74448.0,74552.01,74128.11,74193.69,72471.29534820165,71628.11286677807,502.96449688
1776128400,74193.69,74472.7,73982.94,74421.21,72627.28852034552,71659.04379853386,528.9676353
1776132000,74421.22,74614.52,74318.0,74369.13,72766.63583871789,71695.7754275139,343.0340517
1776135600,74369.27,74521.1,74273.12,74474.67,72903.27857162047,71738.09596586182,216.13029762
1776139200,74474.68,74546.13,74384.25,74421.26,73024.71708589084,71785.21517173013,123.89575276
1776142800,74421.25,74470.37,74193.01,74246.04,73122.42291901958,71836.03445305055,201.38906682
1776146400,74246.04,74591.72,74246.04,74562.48,73237.62748549801,71891.08588284571,219.8792892
1776150000,74562.49,74952.0,74464.84,74590.8,73345.88128665817,71949.92780719846,276.31494816
1776153600,74590.8,74959.0,74497.04,74800.25,73462.23078372552,72012.7345846618,264.0010742
1776157200,74803.68,74872.67,74472.94,74546.65,73548.98432102748,72078.19820345749,253.73447037
1776160800,74546.65,74651.67,74369.29,74376.99,73615.22477534528,72145.39571188678,188.02240092
1776164400,74376.99,74491.92,74332.0,74409.96,73678.80359331766,72214.1216185437,195.73808698
1776168000,74409.97,74520.92,74302.04,74488.79,73743.60250585225,72284.32288325627,388.00012296
1776171600,74488.79,75612.57,74434.95,75608.99,73892.83350538409,72359.20745385067,3769.81050482
1776175200,75608.99,76127.18,75070.05,75070.05,73987.01082495337,72436.4517667191,3590.26487601
1776178800,75071.99,75490.01,74596.0,75361.81,74096.9947589571,72516.5343284404,1130.47982838
1776182400,75361.22,75745.59,74575.35,74698.73,74145.13357824054,72596.86924616517,1386.42649595
1776186000,74696.12,74994.89,74296.62,74806.0,74198.00289198129,72677.52664984451,1223.25751982
1776189600,74806.0,74863.92,73874.42,74145.14,74193.7738606228,72756.16375738636,1900.16029924
1776193200,74145.14,74461.01,73939.31,74299.83,74202.25835177297,72833.22779185428,2713.18751958
1776196800,74301.99,74499.99,74061.0,74152.37,74198.26728363112,72908.18548003536,581.34033326
1776200400,74152.37,74364.78,73979.6,74315.62,74207.65550094063,72981.52995520116,308.66198215
1776204000,74315.62,74417.88,73854.5,74067.36,74196.43186086538,73052.41098090271,472.75297848
1776207600,74067.32,74275.29,74046.18,74179.04,74195.04051199615,73121.20643560697,307.79297745
1776211200,74176.09,74726.93,74149.45,74601.5,74227.55727103645,73189.23372185645,348.31437324
1776214800,74601.5,74828.61,74527.02,74649.0,74261.27268935353,73256.471861755,243.80781113
1776218400,74648.99,74745.67,74216.7,74360.39,74269.20207420526,73321.83423642245,264.12653655
1776222000,74360.39,74406.0,74201.94,74376.75,74277.80590826884,73385.32345546944,115.03165701
1776225600,74376.75,74478.06,74294.01,74372.02,74285.34303560734,73446.87577511031,110.36245872
1776229200,74369.99,74474.97,73902.8,74047.15,74266.28759275874,73505.42127514072,222.67279397
1776232800,74047.15,74085.12,73902.8,73924.0,74238.90458533805,73560.62284403142,112.9662665
1776236400,73923.99,74054.83,73545.0,73771.35,74201.500218511,73612.08021337165,307.89896109
1776240000,73771.35,74219.13,73706.0,74139.99,74196.57940103013,73661.06952838035,151.18444998
1776243600,74139.99,74213.43,73930.25,74033.46,74183.52984894773,73707.26017630601,123.83406297
1776247200,74033.0,74277.98,73818.64,73890.9,74160.1194610319,73750.22855561328,247.57934411
1776250800,73890.9,74287.82,73890.9,74232.72,74165.92750414935,73791.10422504658,213.7657017
1776254400,74232.73,74498.76,74073.84,74302.48,74176.8517038174,73830.05844578796,304.68558868
1776258000,74302.48,74470.0,73825.79,74069.62,74168.27316751202,73866.29259741903,433.01216959
1776261600,74071.96,74541.06,73839.16,74168.81,74168.31611411105,73900.13928844905,495.12674681
1776265200,74168.82,74325.65,73604.79,73861.45,74143.76682498216,73930.63197470647,441.11847269
1776268800,73861.45,74206.09,73776.84,73953.68,74128.5598789836,73958.19166237701,234.86754615
1776272400,73953.71,74269.99,73926.32,74154.99,74130.67428866492,73983.59020358292,280.45424653
1776276000,74154.99,74434.99,74085.0,74414.41,74153.37314557172,74007.6725025904,422.62450959
1776279600,74414.4,75316.55,74380.32,75048.06,74224.948093926,74032.39597422631,1262.63540988
1776283200,75045.99,75082.24,74536.02,74872.14,74276.72344641192,74056.9788437392,411.88694528
1776286800,74872.15,74888.88,74570.52,74765.38,74315.81597069897,74080.94643239692,211.33683207
1776290400,74765.37,75458.81,74755.39,74992.25,74369.93069304306,74104.97235921693,580.75800343
1776294000,74992.25,74995.08,74639.0,74836.31,74407.24103759963,74128.44983887175,192.06582057
1776297600,74839.97,74899.16,74478.66,74834.35,74441.40975459166,74151.31437317377,227.14016939
1776301200,74834.36,74835.33,74483.85,74681.46,74460.61377422433,74173.12445720223,160.29089664
1776304800,74681.46,75299.67,74614.38,74901.14,74495.85587228638,74194.63886517506,329.72741703
1776308400,74901.13,75178.37,74879.15,74901.17,74528.28100250347,74215.83695627478,225.71245288
1776312000,74901.16,75198.07,74745.99,74964.65,74563.19052230321,74236.91307365516,246.28346464
1776315600,74964.65,75172.1,74914.56,75060.65,74602.98728051895,74258.14078572353,113.34469212
1776319200,75062.76,75130.44,74871.66,75048.66,74638.64109807744,74279.43358184605,146.60087069
1776322800,75048.66,75100.0,74636.62,74721.55,74645.27381023124,74299.72066157288,138.60810822
1776326400,74721.55,74768.0,74525.14,74697.71,74649.46870541274,74318.97785413725,256.06303868
1776330000,74697.71,74927.84,74610.14,74612.67,74646.52480897974,74337.01227333568,193.84774226
1776333600,74611.88,74670.84,74288.5,74325.74,74620.86202426137,74353.02019625314,144.2660619
1776337200,74325.75,74602.78,74298.16,74593.33,74618.65946232047,74368.0330138078,180.59497124
1776340800,74593.33,74880.01,74584.2,74632.87,74619.79630533484,74382.25145254632,228.70000639
1776344400,74632.87,75042.33,73298.01,73788.46,74553.28940090805,74393.07387814653,1018.05293394
1776348000,73790.19,74207.0,73419.93,73973.2,74506.8822488354,74401.39054420855,698.4221889
1776351600,73973.21,74902.01,73938.45,74720.99,74524.01086892857,74409.78027008363,747.66708183
1776355200,74721.0,74960.0,74074.66,74186.03,74496.97239941428,74416.61462275145,498.42390082
1776358800,74186.03,74465.99,73903.48,74354.87,74485.60420746113,74422.60319410781,529.10896625
1776362400,74354.86,75108.81,74250.01,75052.22,74530.93347086424,74430.06459191252,375.90132662
1776366000,75052.23,75436.56,74753.03,75378.0,74598.69879319512,74439.88086518696,703.21190124
1776369600,75378.32,75539.91,75014.02,75245.99,74650.48208973951,74451.4135846779,387.23849367
1776373200,75245.99,75300.0,74810.0,74953.73,74674.74192256035,74463.53946762916,283.31504704
1776376800,74953.73,75142.0,74847.96,74888.49,74691.84176875552,74475.96535743451,133.79708471
1776380400,74888.5,75198.99,74846.01,75163.09,74729.54162725508,74489.48255582014,172.63419781
1776384000,75163.09,75179.85,74900.24,74960.61,74748.02709707466,74503.31535213886,170.90853588
1776387600,74960.62,75061.36,74591.71,74763.89,74749.2961293087,74516.76529071284,137.20054616
1776391200,74763.89,74830.9,74558.21,74728.67,74747.64603896401,74529.71580957348,106.18055298
1776394800,74729.95,74870.29,74623.71,74633.16,74738.48715584689,74541.89924378798,133.70827606
1776398400,74633.16,74873.19,74601.62,74810.01,74744.20898337914,74553.93277753986,165.15237098
1776402000,74810.0,74828.39,74575.0,74656.56,74737.19706470882,74565.31877965039,107.03612457
1776405600,74656.57,74964.25,74611.72,74954.74,74754.60049953211,74577.0269626117,124.62748867
1776409200,74954.74,75122.61,74954.7,75094.02,74781.75405956956,74589.43194599492,148.8595187
1776412800,75094.02,75895.99,75011.31,75806.24,74863.712934804,74604.6467154918,432.0348683
1776416400,75803.58,76386.68,75541.61,75811.48,74939.53430001969,74622.34482609559,694.9465378
1776420000,75811.47,75914.99,75120.11,75301.11,74968.46035601811,74640.59844157659,312.88676618
1776423600,75301.1,75638.72,75265.01,75622.58,75020.78992753667,74660.29880028967,204.19548663
1776427200,75622.59,76313.68,75557.99,76263.95,75120.24273333373,74683.24259446259,621.2231765
1776430800,76270.22,77467.99,76094.41,77388.0,75301.66331466702,74712.54788337616,2516.93950939
1776434400,77388.01,78170.0,77055.0,77987.99,75516.56944949366,74749.39009066686,2739.70751485
1776438000,77986.02,78071.14,77493.07,77843.27,75702.70549353417,74792.48099164882,2238.70529422
1776441600,77843.17,78390.0,77773.51,77907.27,75879.07065405145,74841.28469710122,1166.52153207
1776445200,77907.28,77974.06,77150.0,77563.51,76013.82580172733,74894.03114988215,772.06987304
1776448800,77563.51,77613.74,77109.04,77207.66,76109.33253758916,74949.05625193079,491.36939435
1776452400,77206.98,77530.01,77045.52,77453.07,76216.83153458203,75006.74345373712,924.06995477
1776456000,77453.08,77651.24,77181.58,77366.97,76308.84261181547,75066.4027313205,517.96550411
1776459600,77366.97,77531.25,77310.0,77475.0,76402.13520287024,75128.02997759919,185.69571028
1776463200,77475.0,77553.9,77294.79,77321.96,76475.72118664063,75190.8353509991,230.1144675
1776466800,77328.01,77337.86,76931.0,77098.01,76525.50429170938,75253.86829891917,272.78150578
1776470400,77098.01,77287.47,77010.0,77203.97,76579.78154837263,75317.29667782917,158.06754801
1776474000,77203.97,77374.07,77148.75,77251.97,76633.55662450283,75381.10066689696,189.82385932
1776477600,77251.98,77450.15,77150.01,77325.61,76688.9208945426,75445.32967393736,147.61664237
1776481200,77325.61,77328.75,77000.0,77043.74,76717.3064229792,75508.90908512042,160.09773706
1776484800,77043.74,77208.76,76926.92,77148.75,76751.82190914087,75572.07208976176,149.36946919
1776488400,77144.02,77308.84,77144.01,77167.13,76785.04655640961,75634.76863662005,71.06622365
1776492000,77164.46,77253.75,77091.0,77160.01,76815.04363189684,75696.87152718064,103.37341421
1776495600,77160.0,77162.02,76923.08,77020.01,76831.44094134509,75757.85129018266,106.95634532
1776499200,77020.02,77070.98,76517.02,76760.02,76825.72726603749,75816.85918069354,270.92702211
1776502800,76760.02,76760.02,76420.01,76631.26,76810.16988475449,75873.54161612042,138.34597633
1776506400,76631.26,76631.26,76161.55,76222.49,76763.15549397413,75926.68239224255,208.63769327
1776510000,76222.49,76222.5,75793.85,76069.46,76707.65985445621,75975.98907521609,234.98639404
1776513600,76069.46,76335.04,76069.46,76239.75,76670.22706609973,76022.21122919882,183.52075399
1776517200,76239.75,76248.74,75822.46,76148.64,76628.50010081175,76065.18968647074,186.78996841
1776520800,76148.64,76326.27,76006.0,76280.61,76600.66889274682,76105.50037821976,204.57817724
1776524400,76280.61,76391.85,76042.77,76191.72,76567.95298132708,76142.9744674916,161.82685137
1776528000,76191.72,76249.99,75706.19,75968.12,76519.9663428209,76176.98659950403,283.96769598
